,word,frequency,rankdata,log_freq,log_rank
0,Interesting,1,762.0,0.0,6.635946555686647
1,premise,2,1640.0,0.6931471805599453,7.402451520818244
2,readV,1,762.0,0.0,6.635946555686647
3,cute,1,762.0,0.0,6.635946555686647
4,Merry,1,762.0,0.0,6.635946555686647
5,XmasCowboy,1,762.0,0.0,6.635946555686647
6,riding,1,762.0,0.0,6.635946555686647
7,rocket,23,1925.0,3.1354942159291497,7.562681246721884
8,problemoSingle,1,762.0,0.0,6.635946555686647
9,camera,2,1640.0,0.6931471805599453,7.402451520818244
10,view,4,1850.5,1.3862943611198906,7.523211151826211
11,40,2,1640.0,0.6931471805599453,7.402451520818244
12,meter,2,1640.0,0.6931471805599453,7.402451520818244
13,hovertook,1,762.0,0.0,6.635946555686647
14,ride,2,1640.0,0.6931471805599453,7.402451520818244
15,hover,1,762.0,0.0,6.635946555686647
16,flight,4,1850.5,1.3862943611198906,7.523211151826211
17,vid,2,1640.0,0.6931471805599453,7.402451520818244
18,SpaceX,12,1920.0,2.4849066497880004,7.560080465021827
19,Grasshopper,6,1887.5,1.791759469228055,7.54300848112318
20,test,7,1899.0,1.9459101490553132,7.549082710812286
21,rocketprovide,1,762.0,0.0,6.635946555686647
22,little,6,1887.5,1.791759469228055,7.54300848112318
23,perspective,1,762.0,0.0,6.635946555686647
24,size,2,1640.0,0.6931471805599453,7.402451520818244
25,added,1,762.0,0.0,6.635946555686647
26,6,3,1793.5,1.0986122886681098,7.491924296972337
27,ft,2,1640.0,0.6931471805599453,7.402451520818244
28,cowboy,1,762.0,0.0,6.635946555686647
29,rocketmuch,1,762.0,0.0,6.635946555686647
30,agree,2,1640.0,0.6931471805599453,7.402451520818244
31,great,7,1899.0,1.9459101490553132,7.549082710812286
32,review,6,1887.5,1.791759469228055,7.54300848112318
33,Chasing,1,762.0,0.0,6.635946555686647
34,Ice,1,762.0,0.0,6.635946555686647
35,Ars,1,762.0,0.0,6.635946555686647
36,TechnicaThanks,1,762.0,0.0,6.635946555686647
37,driven,2,1640.0,0.6931471805599453,7.402451520818244
38,Tesla,17,1923.0,2.833213344056216,7.56164174558878
39,Model,19,1924.0,2.9444389791664403,7.562161631225652
40,50,2,1640.0,0.6931471805599453,7.402451520818244
41,miles,7,1899.0,1.9459101490553132,7.549082710812286
42,clearly,1,762.0,0.0,6.635946555686647
43,iPhone,1,762.0,0.0,6.635946555686647
44,carsby,1,762.0,0.0,6.635946555686647
45,far,2,1640.0,0.6931471805599453,7.402451520818244
46,best,2,1640.0,0.6931471805599453,7.402451520818244
47,car,5,1875.5,1.6094379124341003,7.536630569521942
48,ever,1,762.0,0.0,6.635946555686647
49,madebeautiful,1,762.0,0.0,6.635946555686647
50,aweinspiring,1,762.0,0.0,6.635946555686647
51,Earth,4,1850.5,1.3862943611198906,7.523211151826211
52,International,3,1793.5,1.0986122886681098,7.491924296972337
53,Space,14,1921.5,2.6390573296152584,7.5608614100048985
54,StationGood,1,762.0,0.0,6.635946555686647
55,piece,4,1850.5,1.3862943611198906,7.523211151826211
56,volcanoes,1,762.0,0.0,6.635946555686647
57,USGS,1,762.0,0.0,6.635946555686647
58,would,10,1914.0,2.302585092994046,7.5569505720129
59,seem,1,762.0,0.0,6.635946555686647
60,disagreeRoughly,1,762.0,0.0,6.635946555686647
61,equivalent,1,762.0,0.0,6.635946555686647
62,747,1,762.0,0.0,6.635946555686647
63,LA,4,1850.5,1.3862943611198906,7.523211151826211
64,London,4,1850.5,1.3862943611198906,7.523211151826211
65,one,8,1906.0,2.0794415416798357,7.552762084214147
66,wayThats,1,762.0,0.0,6.635946555686647
67,Im,5,1875.5,1.6094379124341003,7.536630569521942
68,believer,1,762.0,0.0,6.635946555686647
69,solar,9,1910.0,2.1972245773362196,7.554858521040676
70,power,4,1850.5,1.3862943611198906,7.523211151826211
71,giant,3,1793.5,1.0986122886681098,7.491924296972337
72,fusion,1,762.0,0.0,6.635946555686647
73,reactor,1,762.0,0.0,6.635946555686647
74,conveniently,1,762.0,0.0,6.635946555686647
75,located,1,762.0,0.0,6.635946555686647
76,skyExactly,1,762.0,0.0,6.635946555686647
77,MT,3,1793.5,1.0986122886681098,7.491924296972337
78,IMHO,1,762.0,0.0,6.635946555686647
79,continuing,1,762.0,0.0,6.635946555686647
80,uncontrolled,1,762.0,0.0,6.635946555686647
81,experiment,1,762.0,0.0,6.635946555686647
82,adding,1,762.0,0.0,6.635946555686647
83,co2,1,762.0,0.0,6.635946555686647
84,atmosphere,2,1640.0,0.6931471805599453,7.402451520818244
85,bad,3,1793.5,1.0986122886681098,7.491924296972337
86,ideahard,1,762.0,0.0,6.635946555686647
87,argue,1,762.0,0.0,6.635946555686647
88,thermometer,1,762.0,0.0,6.635946555686647
89,Global,1,762.0,0.0,6.635946555686647
90,warming,2,1640.0,0.6931471805599453,7.402451520818244
91,real,6,1887.5,1.791759469228055,7.54300848112318
92,accelerating,1,762.0,0.0,6.635946555686647
93,Wish,1,762.0,0.0,6.635946555686647
94,wasntCool,1,762.0,0.0,6.635946555686647
95,video,3,1793.5,1.0986122886681098,7.491924296972337
96,recap,1,762.0,0.0,6.635946555686647
97,big,2,1640.0,0.6931471805599453,7.402451520818244
98,events,1,762.0,0.0,6.635946555686647
99,year,3,1793.5,1.0986122886681098,7.491924296972337
100,Google,3,1793.5,1.0986122886681098,7.491924296972337
101,Zeitgeist2012Relative,1,762.0,0.0,6.635946555686647
102,kerosene,1,762.0,0.0,6.635946555686647
103,methane,1,762.0,0.0,6.635946555686647
104,prone,1,762.0,0.0,6.635946555686647
105,coking,1,762.0,0.0,6.635946555686647
106,run,1,762.0,0.0,6.635946555686647
107,v,3,1793.5,1.0986122886681098,7.491924296972337
108,high,3,1793.5,1.0986122886681098,7.491924296972337
109,purity,1,762.0,0.0,6.635946555686647
110,anyway,1,762.0,0.0,6.635946555686647
111,max,2,1640.0,0.6931471805599453,7.402451520818244
112,IspYup,1,762.0,0.0,6.635946555686647
113,Douglas,1,762.0,0.0,6.635946555686647
114,Aircraft,1,762.0,0.0,6.635946555686647
115,creator,1,762.0,0.0,6.635946555686647
116,awesome,4,1850.5,1.3862943611198906,7.523211151826211
117,DC3big,1,762.0,0.0,6.635946555686647
118,worry,2,1640.0,0.6931471805599453,7.402451520818244
119,long,3,1793.5,1.0986122886681098,7.491924296972337
120,hopefully,1,762.0,0.0,6.635946555686647
121,term,3,1793.5,1.0986122886681098,7.491924296972337
122,dead,2,1640.0,0.6931471805599453,7.402451520818244
123,eg,1,762.0,0.0,6.635946555686647
124,sad,1,762.0,0.0,6.635946555686647
125,situation,1,762.0,0.0,6.635946555686647
126,HPSpaceX,1,762.0,0.0,6.635946555686647
127,go,7,1899.0,1.9459101490553132,7.549082710812286
128,public,3,1793.5,1.0986122886681098,7.491924296972337
129,point,3,1793.5,1.0986122886681098,7.491924296972337
130,think,6,1887.5,1.791759469228055,7.54300848112318
131,ultimately,1,762.0,0.0,6.635946555686647
132,owned,1,762.0,0.0,6.635946555686647
133,primarily,1,762.0,0.0,6.635946555686647
134,publicBest,1,762.0,0.0,6.635946555686647
135,study,1,762.0,0.0,6.635946555686647
136,form,1,762.0,0.0,6.635946555686647
137,engineering,1,762.0,0.0,6.635946555686647
138,art,2,1640.0,0.6931471805599453,7.402451520818244
139,creating,3,1793.5,1.0986122886681098,7.491924296972337
140,useful,1,762.0,0.0,6.635946555686647
141,things,2,1640.0,0.6931471805599453,7.402451520818244
142,didnt,3,1793.5,1.0986122886681098,7.491924296972337
143,existTesla,1,762.0,0.0,6.635946555686647
144,articles,1,762.0,0.0,6.635946555686647
145,30,2,1640.0,0.6931471805599453,7.402451520818244
146,mins,3,1793.5,1.0986122886681098,7.491924296972337
147,apart,1,762.0,0.0,6.635946555686647
148,Stock,2,1640.0,0.6931471805599453,7.402451520818244
149,Screaming,1,762.0,0.0,6.635946555686647
150,Buy,1,762.0,0.0,6.635946555686647
151,Could,1,762.0,0.0,6.635946555686647
152,Get,2,1640.0,0.6931471805599453,7.402451520818244
153,DESTROYEDTesla,1,762.0,0.0,6.635946555686647
154,approved,1,762.0,0.0,6.635946555686647
155,full,4,1850.5,1.3862943611198906,7.523211151826211
156,Class,1,762.0,0.0,6.635946555686647
157,1,3,1793.5,1.0986122886681098,7.491924296972337
158,Massachusetts,1,762.0,0.0,6.635946555686647
159,Auto,1,762.0,0.0,6.635946555686647
160,Sales,1,762.0,0.0,6.635946555686647
161,License,1,762.0,0.0,6.635946555686647
162,vote,1,762.0,0.0,6.635946555686647
163,4,1,762.0,0.0,6.635946555686647
164,Much,1,762.0,0.0,6.635946555686647
165,appreciatedTold,1,762.0,0.0,6.635946555686647
166,kids,6,1887.5,1.791759469228055,7.54300848112318
167,age,2,1640.0,0.6931471805599453,7.402451520818244
168,8,1,762.0,0.0,6.635946555686647
169,going,2,1640.0,0.6931471805599453,7.402451520818244
170,see,5,1875.5,1.6094379124341003,7.536630569521942
171,Nutcracker,1,762.0,0.0,6.635946555686647
172,somehow,1,762.0,0.0,6.635946555686647
173,got,2,1640.0,0.6931471805599453,7.402451520818244
174,translated,1,762.0,0.0,6.635946555686647
175,ButtcrackerCongrats,1,762.0,0.0,6.635946555686647
176,first,10,1914.0,2.302585092994046,7.5569505720129
177,drive,4,1850.5,1.3862943611198906,7.523211151826211
178,400,3,1793.5,1.0986122886681098,7.491924296972337
179,single,3,1793.5,1.0986122886681098,7.491924296972337
180,chargeInteresting,1,762.0,0.0,6.635946555686647
181,possible,2,1640.0,0.6931471805599453,7.402451520818244
