,word,frequency
7,rocket,23
39,Model,19
38,Tesla,17
53,Space,14
305,amp,14
18,SpaceX,12
424,Dragon,11
210,good,11
220,people,11
425,Station,10
465,time,10
58,would,10
1384,X,10
176,first,10
276,like,9
446,Falcon,9
69,solar,9
329,really,8
65,one,8
229,Mars,8
1044,launch,8
664,better,8
327,many,7
127,go,7
20,test,7
963,called,7
513,life,7
31,great,7
41,miles,7
579,make,7
663,way,7
431,9,6
566,future,6
91,real,6
130,think,6
955,today,6
323,5,6
166,kids,6
223,know,6
940,spaceship,6
310,actually,6
22,little,6
729,years,6
32,review,6
19,Grasshopper,6
1192,new,5
277,California,5
777,live,5
190,last,5
67,Im,5
170,see,5
801,work,5
391,cars,5
47,car,5
1723,u,5
1266,help,4
1372,weapons,4
537,back,4
926,also,4
428,night,4
199,much,4
1080,fully,4
16,flight,4
1121,right,4
299,article,4
405,love,4
371,thrust,4
700,take,4
358,cat,4
1345,lot,4
177,drive,4
1162,New,4
364,thrusters,4
556,us,4
518,exciting,4
1620,2012,4
63,LA,4
709,world,4
459,engine,4
284,1st,4
51,Earth,4
314,Ariane,4
452,landing,4
55,piece,4
503,space,4
383,need,4
155,full,4
64,London,4
1003,could,4
1136,book,4
538,without,4
542,American,4
10,view,4
116,awesome,4
70,power,4
381,mph,3
366,10,3
392,made,3
898,Texas,3
738,still,3
386,proud,3
372,vector,3
387,team,3
142,didnt,3
157,1,3
146,mins,3
806,rockets,3
325,trip,3
742,state,3
178,400,3
267,energy,3
275,looks,3
589,NASA,3
975,Cape,3
279,dont,3
597,day,3
1556,doesnt,3
1267,Haiti,3
1401,want,3
1400,makes,3
765,something,3
306,used,3
1230,passed,3
308,even,3
309,though,3
318,saying,3
1000,support,3
393,month,3
328,interesting,3
208,looking,3
1423,bit,3
923,tracking,3
625,probably,3
191,week,3
179,single,3
139,creating,3
269,Oxford,3
666,w,3
475,coming,3
662,electric,3
108,high,3
107,v,3
26,6,3
415,Supercharger,3
100,Google,3
99,year,3
1112,code,3
458,advanced,3
457,firing,3
95,video,3
1142,completed,3
453,leg,3
52,International,3
85,bad,3
860,Superdraco,3
711,likely,3
77,MT,3
71,giant,3
1630,f,3
444,say,3
696,get,3
121,term,3
482,complete,3
129,point,3
1119,May,3
532,Motor,3
119,long,3
1061,done,3
128,public,3
1641,enemies,2
838,woman,2
942,approach,2
941,docking,2
514,ensure,2
1397,purple,2
286,Larry,2
515,humanitys,2
496,feel,2
1395,sure,2
968,thought,2
448,Sunday,2
320,chance,2
321,said,2
447,spacecraft,2
823,Time,2
491,unveiling,2
271,picture,2
856,ten,2
460,Merlin,2
1612,Highly,2
779,days,2
1552,Kim,2
780,fly,2
583,owed,2
285,place,2
502,series,2
1632,information,2
1263,come,2
1,premise,2
296,Yay,2
951,Russian,2
443,meant,2
469,pure,2
1557,mean,2
480,owner,2
481,coast,2
1606,Catherine,2
507,Vegas,2
508,beach,2
1605,Massies,2
891,studio,2
336,story,2
822,Baseball,2
1591,around,2
363,gas,2
1666,low,2
546,060,2
367,tall,2
368,using,2
1301,reasons,2
545,sec,2
880,C,2
881,Clarke,2
1319,cats,2
883,quote,2
1318,eat,2
1674,Excellent,2
864,escape,2
376,speed,2
897,central,2
887,movie,2
533,Trend,2
401,room,2
400,2,2
812,moon,2
892,old,2
1314,someone,2
398,seats,2
397,Yes,2
1250,AI,2
909,near,2
416,finished,2
1665,violence,2
1580,Performance,2
1278,friend,2
519,adventure,2
523,wd,2
794,12,2
929,adjust,2
395,rest,2
434,target,2
527,break,2
561,Production,2
427,across,2
874,read,2
798,production,2
1574,RT,2
799,use,2
423,shot,2
348,person,2
528,sound,2
876,technology,2
555,carry,2
1662,true,2
553,humanity,2
1705,close,2
1704,horse,2
552,hero,2
878,magic,2
350,sense,2
982,star,2
268,transport,2
138,art,2
1052,aborted,2
1180,worlds,2
1852,thoughts,2
1178,try,2
654,Gen3,2
726,smoking,2
1493,9th,2
122,dead,2
118,worry,2
658,design,2
1172,Great,2
659,scale,2
661,show,2
111,max,2
1075,propulsion,2
97,big,2
1076,well,2
730,ago,2
141,things,2
635,torque,2
732,scientists,2
181,possible,2
1202,foundation,2
1201,APJ,2
173,got,2
637,air,2
169,going,2
167,age,2
1033,testing,2
1509,huge,2
1037,built,2
1436,Cant,2
1042,may,2
1503,r,2
1187,11,2
148,Stock,2
145,30,2
1185,Giving,2
721,short,2
90,warming,2
1877,death,2
1081,reusable,2
1105,yesterday,2
40,50,2
37,driven,2
1471,look,2
1110,since,2
30,agree,2
1456,created,2
27,ft,2
691,goal,2
24,size,2
1468,happen,2
17,vid,2
14,ride,2
12,meter,2
11,40,2
9,camera,2
1118,date,2
686,Next,2
45,far,2
46,best,2
716,Foundation,2
1485,ooh,2
84,atmosphere,2
1881,Harris,2
1156,bring,2
1086,next,2
1087,gen,2
675,Fate,2
713,cover,2
1141,hold,2
1478,song,2
1094,nonstop,2
1477,theme,2
1098,300,2
1099,mile,2
1899,Voltaire,2
685,fun,2
1026,minutes,2
152,Get,2
492,event,2
493,set,2
258,side,2
596,hour,2
225,crazy,2
1422,showing,2
256,super,2
204,put,2
619,wrote,2
206,reason,2
255,sketch,2
755,women,2
1771,UNICEF,2
1420,Seemed,2
226,lost,2
